,Temperatura - Celsius,Humidade - %,Velocidade Vento - Km/h,Direção Vento - Graus,Chuva Agora - mm,Chuva Acumulada - mm,Sensação Térmica
64,25.98,79.92,0.0,0.0,0.0,585.0,25.0
65,26.02,79.64,0.0,0.0,0.0,585.0,26.0
66,26.02,79.58,0.0,0.0,0.0,585.0,26.0
67,26.05,79.73,0.0,0.0,0.0,585.0,26.0
68,26.02,79.55,0.0,0.0,0.0,585.0,26.0
69,26.06,79.69,0.0,0.0,0.0,585.0,26.0
70,26.05,79.49,0.0,0.0,0.0,585.0,26.0
71,26.05,79.49,0.0,0.0,0.0,585.0,26.0
72,26.02,79.63,0.0,0.0,0.0,585.0,26.0
73,25.99,79.6,0.0,0.0,0.0,585.0,25.0
74,26.01,79.7,0.0,0.0,0.0,585.0,26.0
75,25.98,79.64,0.0,0.0,0.0,585.0,25.0
76,25.96,79.74,0.0,0.0,0.0,585.0,25.0
77,25.96,79.74,0.0,0.0,0.0,585.0,25.0
78,25.96,79.83,0.0,0.0,0.0,585.0,25.0
79,25.93,79.91,0.0,0.0,0.0,585.0,25.0
80,25.92,79.91,0.0,0.0,0.0,585.0,25.0
81,25.92,79.93,0.0,0.0,0.0,585.0,25.0
82,25.88,80.01,0.0,0.0,0.0,585.0,25.0
83,25.88,80.03,0.0,0.0,0.0,585.0,25.0
84,25.85,80.14,0.0,0.0,0.0,585.0,25.0
85,25.86,80.21,0.0,0.0,0.0,585.0,25.0
86,25.88,80.36,0.0,0.0,0.0,585.0,25.0
87,25.88,80.18,0.0,0.0,0.0,585.0,25.0
88,25.85,80.24,0.0,0.0,0.0,585.0,25.0
89,25.86,80.41,0.0,0.0,0.0,585.0,25.0
90,25.86,80.33,0.0,0.0,0.0,585.0,25.0
91,25.88,80.33,0.0,0.0,0.0,585.0,25.0
92,25.86,80.35,0.0,0.0,0.0,585.0,25.0
93,25.88,80.31,0.0,0.0,0.0,585.0,25.0
94,25.86,80.47,0.0,0.0,0.0,585.0,25.0
95,25.88,80.48,0.0,0.0,0.0,585.0,25.0
96,25.85,80.34,0.0,0.0,0.0,585.0,25.0
98,25.88,80.42,0.0,0.0,0.0,585.0,25.0
99,25.84,80.35,0.0,0.0,0.0,585.0,25.0
100,25.85,80.33,0.0,0.0,0.0,585.0,25.0
101,25.85,80.24,0.0,0.0,0.0,585.0,25.0
102,25.85,80.41,0.0,0.0,0.0,585.0,25.0
103,25.91,80.32,0.0,0.0,0.0,585.0,25.0
104,25.93,80.22,0.0,0.0,0.0,585.0,25.0
105,25.92,80.18,0.0,0.0,0.0,585.0,25.0
106,25.95,80.15,0.0,0.0,0.0,585.0,25.0
107,25.93,80.15,0.0,0.0,0.0,585.0,25.0
108,25.92,80.18,0.0,0.0,0.0,585.0,25.0
109,25.93,80.14,0.0,0.0,0.0,585.0,25.0
110,25.95,80.11,0.0,0.0,0.0,585.0,25.0
111,25.95,80.1,0.0,0.0,0.0,585.0,25.0
112,25.95,80.02,0.0,0.0,0.0,585.0,25.0
113,25.93,80.05,0.0,0.0,0.0,585.0,25.0
114,25.95,80.06,0.0,0.0,0.0,585.0,25.0
115,25.93,80.07,0.0,0.0,0.0,585.0,25.0
116,25.93,80.05,0.0,0.0,0.0,585.0,25.0
117,25.93,80.09,0.0,0.0,0.0,585.0,25.0
118,25.95,80.07,0.0,0.0,0.0,585.0,25.0
119,25.93,80.02,0.0,0.0,0.0,585.0,25.0
120,25.89,80.02,0.0,0.0,0.0,585.0,25.0
121,25.92,80.18,0.0,0.0,0.0,585.0,25.0
122,25.92,80.23,0.0,0.0,0.0,585.0,25.0
123,25.89,80.26,0.0,0.0,0.0,585.0,25.0
124,25.93,80.74,0.0,0.0,0.0,585.0,25.0
125,25.92,80.81,0.0,0.0,0.0,585.0,25.0
126,25.91,80.68,0.0,0.0,0.0,585.0,25.0
127,25.92,80.04,0.0,0.0,0.0,585.0,25.0
128,25.93,80.27,0.0,0.0,0.0,585.0,25.0
129,25.89,80.1,0.0,0.0,0.0,585.0,25.0
130,25.91,80.11,0.0,0.0,0.0,585.0,25.0
131,25.92,80.08,0.0,0.0,0.0,585.0,25.0
132,25.86,80.04,0.0,0.0,0.0,585.0,25.0
133,25.88,80.12,0.0,0.0,0.0,585.0,25.0
134,25.88,80.21,0.0,0.0,0.0,585.0,25.0
135,25.84,80.18,0.0,0.0,0.0,585.0,25.0
136,25.85,80.21,0.0,0.0,0.0,585.0,25.0
137,25.91,80.25,0.0,0.0,0.0,585.0,25.0
138,25.91,80.25,0.0,0.0,0.0,585.0,25.0
139,25.89,80.24,0.0,0.0,0.0,585.0,25.0
140,25.92,80.17,0.0,0.0,0.0,585.0,25.0
141,25.92,80.24,0.0,0.0,0.0,585.0,25.0
142,25.92,80.16,0.0,0.0,0.0,585.0,25.0
143,25.92,80.13,0.0,0.0,0.0,585.0,25.0
144,25.93,80.31,0.0,0.0,0.0,585.0,25.0
145,25.95,80.25,0.0,0.0,0.0,585.0,25.0
146,25.92,80.43,0.0,0.0,0.0,585.0,25.0
147,25.95,80.34,0.0,0.0,0.0,585.0,25.0
148,25.96,80.22,0.0,0.0,0.0,585.0,25.0
149,25.96,80.08,0.0,0.0,0.0,585.0,25.0
150,25.95,80.18,0.0,0.0,0.0,585.0,25.0
151,25.95,80.38,0.0,0.0,0.0,585.0,25.0
152,25.98,80.22,0.0,0.0,0.0,585.0,25.0
153,25.96,80.25,0.0,0.0,0.0,585.0,25.0
154,25.99,80.26,0.0,0.0,0.0,585.0,25.0
155,25.99,80.13,0.0,0.0,0.0,585.0,25.0
156,25.99,80.05,0.0,0.0,0.0,585.0,25.0
157,25.99,80.03,0.0,0.0,0.0,585.0,25.0
158,25.99,79.98,0.0,0.0,0.0,585.0,25.0
159,25.98,80.15,0.0,0.0,0.0,585.0,25.0
160,25.98,80.04,0.0,0.0,0.0,585.0,25.0
161,25.99,80.02,0.0,0.0,0.0,585.0,25.0
162,25.98,80.1,0.0,0.0,0.0,585.0,25.0
163,25.98,80.06,0.0,0.0,0.0,585.0,25.0
164,26.01,80.01,0.0,0.0,0.0,585.0,26.0
165,25.99,80.15,0.0,0.0,0.0,585.0,25.0
166,25.99,80.15,0.0,0.0,0.0,585.0,25.0
167,25.99,79.99,0.0,0.0,0.0,585.0,25.0
168,25.98,79.9,0.0,0.0,0.0,585.0,25.0
169,26.01,79.96,0.0,0.0,0.0,585.0,26.0
170,25.99,79.88,0.0,0.0,0.0,585.0,25.0
171,25.98,79.89,0.0,0.0,0.0,585.0,25.0
172,25.99,79.96,0.0,0.0,0.0,585.0,25.0
173,26.01,79.87,0.0,0.0,0.0,585.0,26.0
174,25.98,79.9,0.0,0.0,0.0,585.0,25.0
175,26.01,79.89,0.0,0.0,0.0,585.0,26.0
176,25.99,79.87,0.0,0.0,0.0,585.0,25.0
177,25.98,79.87,0.0,0.0,0.0,585.0,25.0
178,25.98,79.75,0.0,0.0,0.0,585.0,25.0
179,25.95,79.74,0.0,0.0,0.0,585.0,25.0
180,25.95,79.84,0.0,0.0,0.0,585.0,25.0
181,25.96,79.88,0.0,0.0,0.0,585.0,25.0
182,25.98,79.78,0.0,0.0,0.0,585.0,25.0
183,25.96,79.84,0.0,0.0,0.0,585.0,25.0
184,25.98,79.87,0.0,0.0,0.0,585.0,25.0
185,25.96,79.85,0.0,0.0,0.0,585.0,25.0
186,25.98,79.81,0.0,0.0,0.0,585.0,25.0
187,25.99,79.68,0.0,0.0,0.0,585.0,25.0
188,25.98,79.68,0.0,0.0,0.0,585.0,25.0
189,25.96,79.66,0.0,0.0,0.0,585.0,25.0
190,25.96,79.67,0.0,0.0,0.0,585.0,25.0
191,25.89,79.66,0.0,0.0,0.0,585.0,25.0
192,25.91,79.71,0.0,0.0,0.0,585.0,25.0
193,25.91,79.8,0.0,0.0,0.0,585.0,25.0
194,25.92,79.61,0.0,0.0,0.0,585.0,25.0
195,25.93,79.64,0.0,0.0,0.0,585.0,25.0
196,25.91,79.67,0.0,0.0,0.0,585.0,25.0
197,25.91,79.6,0.0,0.0,0.0,585.0,25.0
198,25.92,79.58,0.0,0.0,0.0,585.0,25.0
199,25.92,79.56,0.0,0.0,0.0,585.0,25.0
200,25.91,79.52,0.0,0.0,0.0,585.0,25.0
201,25.89,79.56,0.0,0.0,0.0,585.0,25.0
202,25.91,79.6,0.0,0.0,0.0,585.0,25.0
203,25.91,79.57,0.0,0.0,0.0,585.0,25.0
204,25.92,79.49,0.0,0.0,0.0,585.0,25.0
205,25.92,79.5,0.0,0.0,0.0,585.0,25.0
206,25.88,79.38,0.0,0.0,0.0,585.0,25.0
207,25.91,79.39,0.0,0.0,0.0,585.0,25.0
208,25.89,79.3,0.0,0.0,0.0,585.0,25.0
209,25.88,79.36,0.0,0.0,0.0,585.0,25.0
210,25.88,79.42,0.0,0.0,0.0,585.0,25.0
211,25.89,79.45,0.0,0.0,0.0,585.0,25.0
212,25.86,79.44,0.0,0.0,0.0,585.0,25.0
213,25.86,79.47,0.0,0.0,0.0,585.0,25.0
214,25.85,79.44,0.0,0.0,0.0,585.0,25.0
215,25.85,79.46,0.0,0.0,0.0,585.0,25.0
216,25.81,79.34,0.0,0.0,0.0,585.0,25.0
217,25.79,79.41,0.0,0.0,0.0,585.0,25.0
218,25.82,79.48,0.0,0.0,0.0,585.0,25.0
219,25.79,79.5,0.0,0.0,0.0,585.0,25.0
220,25.79,79.56,0.0,0.0,0.0,585.0,25.0
221,25.82,79.53,0.0,0.0,0.0,585.0,25.0
222,25.78,79.43,0.0,0.0,0.0,585.0,25.0
223,25.77,79.37,0.0,0.0,0.0,585.0,25.0
224,25.78,79.47,0.0,0.0,0.0,585.0,25.0
225,25.74,79.47,0.0,0.0,0.0,585.0,25.0
226,25.75,79.55,0.0,0.0,0.0,585.0,25.0
227,25.75,79.6,0.0,0.0,0.0,585.0,25.0
228,25.75,79.6,0.0,0.0,0.0,585.0,25.0
229,25.72,79.58,0.0,0.0,0.0,585.0,25.0
230,25.74,79.63,0.0,0.0,0.0,585.0,25.0
231,25.71,79.64,0.0,0.0,0.0,585.0,25.0
232,25.7,79.63,0.0,0.0,0.0,585.0,25.0
233,25.7,79.71,0.0,0.0,0.0,585.0,25.0
234,25.7,79.64,0.0,0.0,0.0,585.0,25.0
235,25.68,79.55,0.0,0.0,0.0,585.0,25.0
236,25.64,79.69,0.0,0.0,0.0,585.0,25.0
237,25.65,79.58,0.0,0.0,0.0,585.0,25.0
238,25.64,79.47,0.0,0.0,0.0,585.0,25.0
239,25.62,79.6,0.0,0.0,0.0,585.0,25.0
240,25.61,79.69,0.0,0.0,0.0,585.0,25.0
241,25.6,79.69,0.0,0.0,0.0,585.0,25.0
242,25.6,79.75,0.0,0.0,0.0,585.0,25.0
243,25.61,79.82,0.0,0.0,0.0,585.0,25.0
244,25.48,79.85,0.0,0.0,0.0,585.0,25.0
245,25.47,79.93,0.0,0.0,0.0,585.0,25.0
246,25.48,79.91,0.0,0.0,0.0,585.0,25.0
247,25.47,79.87,0.0,0.0,0.0,585.0,25.0
248,25.47,79.77,0.0,0.0,0.0,585.0,25.0
249,25.47,79.79,0.0,0.0,0.0,585.0,25.0
250,25.47,79.9,0.0,0.0,0.0,585.0,25.0
251,25.45,79.83,0.0,0.0,0.0,585.0,25.0
252,25.44,79.85,0.0,0.0,0.0,585.0,25.0
253,25.42,79.82,0.0,0.0,0.0,585.0,25.0
254,25.41,79.86,0.0,0.0,0.0,585.0,25.0
255,25.42,80.02,0.0,0.0,0.0,585.0,25.0
256,25.4,80.06,0.0,0.0,0.0,585.0,25.0
257,25.41,80.05,0.0,0.0,0.0,585.0,25.0
258,25.4,79.98,0.0,0.0,0.0,585.0,25.0
259,25.41,79.97,0.0,0.0,0.0,585.0,25.0
260,25.37,80.02,0.0,0.0,0.0,585.0,25.0
261,25.4,80.01,0.0,0.0,0.0,585.0,25.0
262,25.38,80.06,0.0,0.0,0.0,585.0,25.0
263,25.37,80.08,0.0,0.0,0.0,585.0,25.0
264,25.35,80.08,0.0,0.0,0.0,585.0,25.0
265,25.37,80.18,0.0,0.0,0.0,585.0,25.0
266,25.35,80.16,0.0,0.0,0.0,585.0,25.0
267,25.35,80.12,0.0,0.0,0.0,585.0,25.0
268,25.35,80.18,0.0,0.0,0.0,585.0,25.0
269,25.34,80.35,0.0,0.0,0.0,585.0,25.0
270,25.37,80.37,0.0,0.0,0.0,585.0,25.0
271,25.35,80.3,0.0,0.0,38.62416,585.0,26.96889
272,25.33,80.31,0.0,0.0,38.62416,585.0,26.945
273,25.35,80.03,0.0,0.0,38.62416,585.0,26.96889
274,25.33,80.09,0.0,0.0,38.62416,585.0,26.945
275,25.35,80.07,0.0,0.0,38.62416,585.0,26.96889
276,25.35,80.11,0.0,0.0,38.62416,585.0,26.96889
277,25.34,80.16,0.0,0.0,38.62416,585.0,26.95694
278,25.37,80.23,0.0,0.0,38.62416,585.0,26.99278
279,25.37,80.18,0.0,0.0,38.62416,585.0,26.99278
280,25.34,80.03,0.0,0.0,38.62416,585.0,26.95694
281,25.37,80.12,0.0,0.0,38.62416,585.0,26.99278
282,25.35,80.24,0.0,0.0,38.62416,585.0,26.96889
283,25.35,80.35,0.0,0.0,38.62416,585.0,26.96889
284,25.38,80.2,0.0,0.0,38.62416,585.0,27.00472
285,25.35,80.09,0.0,0.0,38.62416,585.0,26.96889
286,25.35,80.0,0.0,0.0,38.62416,585.0,26.96889
287,25.37,79.91,0.0,0.0,38.62416,585.0,26.99278
288,25.33,80.0,0.0,0.0,38.62416,585.0,26.945
289,25.34,80.07,0.0,0.0,38.62416,585.0,26.95694
290,25.35,80.17,0.0,0.0,38.62416,585.0,26.96889
291,25.35,80.23,0.0,0.0,38.62416,585.0,26.96889
292,25.33,80.17,0.0,0.0,38.62416,585.0,-197.73166
293,25.37,80.24,0.0,0.0,38.62416,585.0,-197.5358
294,25.35,80.24,0.0,0.0,38.62416,585.0,-197.63373
295,25.34,79.98,0.0,0.0,38.62416,585.0,-197.68269
296,25.33,79.96,0.0,0.0,38.62416,585.0,-197.73166
297,25.35,79.97,0.0,0.0,38.62416,585.0,-197.63373
298,25.34,79.83,0.0,0.0,38.62416,585.0,-197.68269
299,25.34,79.83,0.0,0.0,38.62416,585.0,-197.68269
300,25.34,79.87,0.0,0.0,38.62416,585.0,-197.68269
301,25.34,79.96,0.0,0.0,38.62416,585.0,-197.68269
302,25.34,80.03,0.0,0.0,38.62416,585.0,26.95694
303,25.33,80.03,0.0,0.0,38.62416,585.0,26.945
304,25.34,80.03,0.0,0.0,38.62416,585.0,26.95694
305,25.33,80.06,0.0,0.0,38.62416,585.0,26.945
306,25.34,79.94,0.0,0.0,38.62416,585.0,26.95694
307,25.31,79.93,0.0,0.0,38.62416,585.0,26.9211
308,25.33,79.83,0.0,0.0,38.62416,585.0,26.945
309,25.35,79.68,0.0,0.0,38.62416,585.0,26.96889
310,25.35,79.67,0.0,0.0,38.62416,585.0,26.96889
311,25.33,79.57,0.0,0.0,38.62416,585.0,26.945
312,25.3,79.74,0.0,0.0,38.62416,585.0,26.90915
313,25.27,79.91,0.0,0.0,38.62416,585.0,23.87332
314,25.28,79.92,0.0,0.0,38.62416,585.0,23.88527
315,25.28,79.94,0.0,0.0,38.62416,585.0,23.88527
316,25.28,79.92,0.0,0.0,38.62416,585.0,23.88527
317,25.3,79.94,0.0,0.0,38.62416,585.0,23.90915
318,25.3,79.83,0.0,0.0,38.62416,585.0,23.90915
319,25.3,79.87,0.0,0.0,38.62416,585.0,23.90915
320,25.27,79.94,0.0,0.0,38.62416,585.0,23.87332
321,25.3,80.03,0.0,0.0,38.62416,585.0,23.90915
322,25.31,79.68,0.0,0.0,38.62416,585.0,23.9211
323,25.0,80.0,0.0,0.0,38.62416,585.0,23.55077
324,25.0,79.93,0.0,0.0,38.62416,585.0,23.55077
325,25.0,79.92,0.0,0.0,38.62416,585.0,23.55077
326,25.0,79.81,0.0,0.0,38.62416,585.0,23.55077
327,25.0,79.71,0.0,0.0,38.62416,585.0,23.55077
328,25.0,79.63,0.0,0.0,38.62416,585.0,23.55077
329,25.0,79.67,0.0,0.0,38.62416,585.0,23.55077
330,25.0,79.76,0.0,0.0,38.62416,585.0,23.55077
331,25.0,79.71,0.0,0.0,38.62416,585.0,23.55077
332,25.0,79.57,0.0,0.0,38.62416,585.0,23.55077
333,25.0,79.71,0.0,0.0,38.62416,585.0,23.55077
334,25.0,79.66,0.0,0.0,38.62416,585.0,23.55077
335,25.0,79.76,0.0,0.0,38.62416,585.0,23.55077
336,25.0,79.77,0.0,0.0,38.62416,585.0,23.55077
337,25.0,79.77,0.0,0.0,38.62416,585.0,23.55077
338,25.0,79.8,0.0,0.0,38.62416,585.0,23.55077
339,25.0,79.81,0.0,0.0,38.62416,585.0,23.55077
340,25.0,79.82,0.0,0.0,38.62416,585.0,23.55077
341,25.0,79.95,0.0,0.0,38.62416,585.0,23.55077
342,25.0,79.83,0.0,0.0,38.62416,585.0,23.55077
343,25.0,79.74,0.0,0.0,38.62416,585.0,23.55077
344,25.0,79.64,0.0,0.0,38.62416,585.0,23.55077
345,25.0,79.57,0.0,0.0,38.62416,585.0,23.55077
346,25.0,79.64,0.0,0.0,38.62416,585.0,23.55077
347,25.0,79.55,0.0,0.0,38.62416,585.0,23.55077
348,25.0,78.61,0.0,0.0,38.62416,585.0,23.55077
349,25.0,78.59,0.0,0.0,38.62416,585.0,23.55077
350,25.0,79.03,0.0,0.0,38.62416,585.0,24.05077
351,25.0,79.01,0.0,0.0,38.62416,585.0,24.05077
352,25.0,79.03,0.0,0.0,38.62416,585.0,24.05077
353,25.0,79.03,0.0,0.0,38.62416,585.0,24.05077
354,25.0,79.01,0.0,0.0,38.62416,585.0,24.05077
355,25.0,78.99,0.0,0.0,38.62416,585.0,24.05077
356,25.0,79.06,0.0,0.0,38.62416,585.0,24.05077
357,25.0,79.11,0.0,0.0,38.62416,585.0,24.05077
358,25.0,79.11,0.0,0.0,38.62416,585.0,24.05077
359,25.0,79.17,0.0,0.0,38.62416,585.0,24.05077
362,25.0,79.19,0.0,0.0,38.62416,585.0,24.05077
363,25.0,79.21,0.0,0.0,38.62416,585.0,24.05077
364,25.0,79.2,0.0,0.0,38.62416,585.0,24.05077
365,25.0,79.22,0.0,0.0,38.62416,585.0,24.05077
366,25.0,79.19,0.0,0.0,38.62416,585.0,24.05077
367,25.0,79.11,0.0,0.0,38.62416,585.0,24.05077
368,25.0,79.08,0.0,0.0,38.62416,585.0,24.05077
369,25.0,79.12,0.0,0.0,38.62416,585.0,24.05077
370,25.0,79.14,0.0,0.0,38.62416,585.0,24.05077
371,30.0,79.26,0.0,0.0,38.62416,585.0,30.02386
372,30.0,79.17,0.0,0.0,38.62416,585.0,30.02386
373,30.0,79.15,0.0,0.0,38.62416,585.0,30.02386
374,30.0,79.17,0.0,0.0,38.62416,585.0,30.02386
375,30.0,79.2,0.0,0.0,38.62416,585.0,30.02386
376,30.0,79.16,0.0,0.0,38.62416,585.0,30.02386
377,30.0,79.09,0.0,0.0,38.62416,585.0,30.02386
378,30.0,79.05,0.0,0.0,38.62416,585.0,30.02386
379,30.0,79.1,0.0,0.0,38.62416,585.0,30.02386
380,25.64,79.26,0.0,0.0,38.62416,585.0,24.81532
381,25.67,79.25,0.0,0.0,38.62416,585.0,24.85117
382,25.61,79.27,0.0,0.0,38.62416,585.0,24.77949
383,25.65,79.23,0.0,0.0,38.62416,585.0,24.82727
384,25.61,79.22,0.0,0.0,38.62416,585.0,24.77949
385,25.6,79.47,0.0,0.0,38.62416,585.0,24.76754
386,25.61,79.34,0.0,0.0,38.62416,585.0,24.77949
387,25.61,79.38,0.0,0.0,38.62416,585.0,24.77949
388,25.64,79.34,0.0,0.0,38.62416,585.0,24.81532
389,25.62,79.31,0.0,0.0,38.62416,585.0,24.79144
390,25.62,79.38,0.0,0.0,38.62416,585.0,24.79144
391,25.62,79.42,0.0,0.0,38.62416,585.0,24.79144
392,25.62,79.42,0.0,0.0,38.62416,585.0,24.79144
393,25.62,79.44,0.0,0.0,38.62416,585.0,24.79144
394,25.61,79.38,0.0,0.0,38.62416,585.0,24.77949
395,25.61,79.38,0.0,0.0,38.62416,585.0,24.77949
396,25.61,79.36,0.0,0.0,38.62416,585.0,24.77949
397,25.61,79.33,0.0,0.0,38.62416,585.0,24.77949
398,25.64,79.26,0.0,0.0,38.62416,585.0,24.81532
399,25.62,79.15,0.0,0.0,38.62416,585.0,24.79144
400,25.61,78.98,0.0,0.0,0.0,585.0,26.53662
401,25.6,78.96,0.0,0.0,0.0,585.0,26.5304
402,25.6,78.83,0.0,0.0,0.0,585.0,26.5304
403,25.58,78.77,0.0,0.0,0.0,585.0,26.51797
404,25.6,78.82,0.0,0.0,0.0,585.0,26.5304
405,25.6,78.67,0.0,0.0,0.0,585.0,26.5304
406,25.58,78.68,0.0,0.0,0.0,585.0,26.51797
407,25.6,78.77,0.0,0.0,0.0,585.0,26.5304
408,25.6,78.78,0.0,0.0,0.0,585.0,26.5304
409,25.55,78.79,0.0,0.0,0.0,585.0,26.49932
410,25.55,78.86,0.0,0.0,0.0,585.0,26.49932
411,25.55,78.8,0.0,0.0,0.0,585.0,26.49932
412,25.55,78.9,0.0,0.0,0.0,585.0,26.49932
413,25.58,79.04,0.0,0.0,0.0,585.0,26.51797
414,25.57,79.03,0.0,0.0,0.0,585.0,26.51175
415,25.55,79.02,0.0,0.0,0.0,585.0,26.49932
416,25.57,79.02,0.0,0.0,0.0,585.0,26.51175
417,25.52,78.99,0.0,0.0,0.0,585.0,26.48068
418,25.54,79.04,0.0,0.0,0.0,585.0,26.49311
419,25.57,79.04,0.0,0.0,0.0,585.0,26.51175
420,25.55,78.98,0.0,0.0,0.0,585.0,26.49932
421,25.55,78.99,0.0,0.0,0.0,585.0,26.49932
422,25.57,78.94,0.0,0.0,0.0,585.0,26.51175
423,25.57,78.86,0.0,0.0,0.0,585.0,26.51175
424,25.54,78.9,0.0,0.0,0.0,585.0,26.49311
425,25.55,78.82,0.0,0.0,0.0,585.0,26.49932
426,25.55,78.74,0.0,0.0,0.0,585.0,26.49932
427,25.55,78.75,0.0,0.0,0.0,585.0,26.49932
428,25.54,78.81,0.0,0.0,0.0,585.0,26.49311
429,25.54,78.8,0.0,0.0,0.0,585.0,26.49311
430,25.54,78.65,0.0,0.0,0.0,585.0,26.49311
431,25.54,78.74,0.0,0.0,0.0,585.0,26.49311
432,25.52,78.68,0.0,0.0,0.0,585.0,26.48068
433,25.5,78.75,0.0,0.0,0.0,585.0,26.46825
434,25.51,78.77,0.0,0.0,0.0,585.0,26.47446
435,25.51,78.73,0.0,0.0,0.0,585.0,26.47446
436,25.5,78.82,0.0,0.0,0.0,585.0,26.46825
437,25.5,78.86,0.0,0.0,0.0,585.0,26.46825
438,25.51,78.83,0.0,0.0,0.0,585.0,26.47446
439,25.5,78.88,0.0,0.0,0.0,585.0,26.46825
440,25.48,78.94,0.0,0.0,0.0,585.0,26.45582
441,25.48,78.9,0.0,0.0,0.0,585.0,26.45582
442,25.47,78.95,0.0,0.0,0.0,585.0,26.4496
443,25.51,78.82,0.0,0.0,0.0,585.0,26.47446
444,25.5,79.07,0.0,0.0,0.0,585.0,26.46825
445,25.5,79.0,0.0,0.0,0.0,585.0,26.46825
446,25.48,78.9,0.0,0.0,0.0,585.0,26.45582
447,25.5,78.92,0.0,0.0,0.0,585.0,26.46825
448,25.5,78.99,0.0,0.0,0.0,585.0,26.46825
449,25.5,78.88,0.0,0.0,0.0,585.0,26.46825
450,25.5,78.96,0.0,0.0,0.0,585.0,26.46825
451,25.47,78.8,0.0,0.0,0.0,585.0,26.4496
452,25.5,78.79,0.0,0.0,0.0,585.0,26.46825
453,25.48,78.83,0.0,0.0,0.0,585.0,26.45582
